"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
154,"population","Coefficient",4.77646173277814e-09,4.64585243907469e-10,-1.35280671899646e-10,5.1719977866606e-09,1.09981158673606e-09,-3.75084896233683e-10,2.49162808617042e-08,-1.47885945040573e-09,-2.98711246072493e-09,2.44070375390855e-08,-6.79684148735701e-09,-1.81463376077389e-09
154,"population","R-square",0.115244685671253,0.0265102353048679,0.00145104726473679,0.110481478797573,0.0261344867727659,0.00479944294146484,0.240594809915161,0.00897584663943639,0.0328101411874009,0.218668253893118,0.00815262259317714,0.012214545645279
154,"population","P-value",1.65417139524535e-05,0.0450487436916173,0.63904403635108,3.45018472439567e-05,0.0488740509697383,0.401170109105872,1.40951372111705e-05,0.431925132893872,0.130604963880021,0.000188261351030693,0.496443017024487,0.404670205220911
152,"population_density","Coefficient",0.000160723910120693,5.45895315656757e-05,-2.84726664822144e-05,0.000130271224104916,0.000150523944769288,-6.63711009753679e-06,8.91310176258169e-05,9.44023514887047e-05,4.5722392638814e-05,2.93090646244851e-05,0.00118672921074587,0.000103499935680737
152,"population_density","R-square",0.00223990486661253,0.00659095046613338,0.00110402797108964,0.00120362149379503,0.00840661642532592,2.58472612350607e-05,0.00156480541037705,0.0181786433118145,0.00385916392931307,0.0001703136561885,0.135424818344459,0.0215793869261456
152,"population_density","P-value",0.5625877417114,0.32333946998371,0.68446374709578,0.676555511314334,0.269380054676469,0.951267905464007,0.745082012750588,0.265780295842506,0.609430348058887,0.922544051418102,0.00448206138435112,0.271166571291543
151,"median_age","Coefficient",0.0397365242558864,-0.0078129100967675,0.00359080088346578,0.0298654774513046,-0.0153760136149121,0.0135680986504309,0.0697882754902632,0.00393622089171105,-0.0186614679635972,0.0915036616330577,-0.00582811230226387,-0.0326292246588092
151,"median_age","R-square",0.0261942815633786,0.0245729936307489,0.00338997666892787,0.0118826876023011,0.0161234202834474,0.0204157441885019,0.101664481907307,0.00500313739547617,0.110010938519459,0.132134753934651,0.000257705325332126,0.169784236861697
151,"median_age","P-value",0.0471015877779336,0.0562391719935786,0.477629869104695,0.190287020803607,0.126690814968358,0.0853472050254318,0.00757939404453737,0.563573708116653,0.00536798077885574,0.00465643697073411,0.903947330406836,0.00118422961226261
150,"aged_65_older","Coefficient",0.0290223997638595,-0.0160105242513308,0.0100845776440707,0.0138600911880357,-0.0246463222172203,0.0269196085855831,0.0810988255107326,-0.00126166043107834,-0.0295612171094452,0.110639250327305,-0.0712372102233693,-0.048261179296239
150,"aged_65_older","R-square",0.00672815571614026,0.052787849268143,0.0128901544620533,0.00123799572260174,0.0201276516511837,0.0389830631310019,0.0752339110688554,0.000281675233223261,0.151275666998519,0.107536748745855,0.0214328397052894,0.206765491445845
150,"aged_65_older","P-value",0.318337632622087,0.0049682698057705,0.166555478815284,0.674376913822698,0.0887179480106121,0.0172932711090016,0.0225652926506115,0.891130152183395,0.000957077471987956,0.0112284892108555,0.268540223173496,0.000296844414301844
150,"aged_70_older","Coefficient",0.0471656766878302,-0.0228539069096887,0.0126327369280882,0.0248321458213605,-0.0355825764095255,0.037033216585053,0.116427066314846,-0.00271554804904092,-0.0441195879944477,0.155672184183128,-0.116798171933014,-0.072234910844311
150,"aged_70_older","R-square",0.00820332798477142,0.0471610750465219,0.00936359141429311,0.00183962349061006,0.0193317796031763,0.0341803780429612,0.0718149260274671,0.000603717030621866,0.155999528795168,0.0990049287648526,0.0267849653429724,0.215129174263127
150,"aged_70_older","P-value",0.27034592063,0.00801930639722314,0.238802662297558,0.608483251236123,0.0953417226740772,0.0260006919251641,0.027142806682625,0.842350085570369,0.000858418561236213,0.016146337205861,0.219608287918594,0.000245386065663747
