,(Intercept)_1,log(Days_after_first_Case)_1,Days_after_first_Case_1,(Intercept)_2,log(Days_after_first_Case)_2,Days_after_first_Case_2,psi,(Intercept)_1_s,log(Days_after_first_Case)_1_s,Days_after_first_Case_1_s,(Intercept)_2_s,log(Days_after_first_Case)_2_s,Days_after_first_Case_2_s,psi_s
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,-5.982340664,3.922349831,-0.0868033,-211.7198741,58.01140561,-0.503417129,84,-6.27270831,4.040998419,-0.090244906,-214.7459036,58.83046996,-0.510887838,86
Mozambique,-0.208128891,3.580436628,-1.060859709,-6.750353554,2.286575032,-0.006407743,10,0.280718569,-0.419268308,0.058426498,136.1686709,-37.40576316,0.390366178,81
Myanmar,0.746680084,-1.606857613,0.299461962,10.67166107,-3.020081292,0.041620071,22,0.580675918,-1.035019314,0.209222939,12.07311353,-3.468970926,0.048423462,24
Namibia,-1.108915606,0.954392218,-0.13526153,-76.64283964,18.31384719,-0.055747129,50,-1.150602027,1.000635217,-0.140425998,-76.106077,18.16689411,-0.05435056,57
Netherlands,-9.112912813,6.038922668,-0.153644297,-39.31822945,12.89218171,-0.149474804,76,-8.891932171,5.948399921,-0.150932242,-63.13918996,19.38443332,-0.209901377,79
New_Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicaragua,-75.21121066,23.34238326,-0.287047213,-1015.265109,275.9662791,-2.525414505,101,-2.194294454,-0.635382801,0.123599701,90.80964272,-24.26900739,0.247133767,79
Niger,-14.99167171,9.57185706,-0.495171833,5.16245731,-0.663334063,-0.009415371,37,-2.852515994,1.55178328,0.122049583,12.94299199,-3.248801833,0.033370536,20
Nigeria,0.256053916,-0.107023605,0.101825921,-5.999126946,3.00656378,-0.016363577,54,-0.08335065,0.088444702,0.092367479,-6.97260882,3.28121408,-0.019239282,56
North_Macedonia,-7.530527303,4.457566448,-0.130044463,-70.0042399,20.10408165,-0.177229763,59,-8.088460968,4.714207406,-0.139950227,-71.05455595,20.39427953,-0.180065622,61
Northern_Mariana_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,-4.421050892,4.087407593,-0.136321527,-14.17667683,4.732882556,-0.049095414,79,-4.445365905,4.098408097,-0.136722781,-7.420387791,2.913685311,-0.032889739,81
Oman,-6.63423576,3.048333137,-0.018434276,-45.4331268,13.59996602,-0.104880733,62,-8.585495392,3.861337881,-0.043618882,-44.25598581,13.2780314,-0.101851624,64
Pakistan,-4.060246807,3.073937583,-0.036224087,-32.65505394,11.11954827,-0.10222581,49,-3.041725968,2.587366877,-0.016057337,-35.36116109,11.87595958,-0.109882428,51
Palestine,-0.084637753,1.01475852,-0.035189968,-410.3781463,108.7864423,-0.871602022,80,0.006420021,0.962726349,-0.032671125,-549.7506355,146.1239011,-1.199721124,83
Panama,-1.206351823,2.292035481,-0.049777151,-31.39124249,9.760881757,-0.070324567,63,-1.264217832,2.318995392,-0.050785912,-40.75346915,12.35347373,-0.095881016,72
Papua_New_Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,-2.016509337,1.356685691,-0.011654223,-266.5129152,72.70757677,-0.646055726,88,-1.716366223,1.221771323,-0.007271255,-666.7834284,180.9522271,-1.631026477,92
Peru,-6.227910833,3.794867261,-0.02178602,-16.15731467,7.095820458,-0.081152237,45,-5.197557254,3.474971303,-0.018153633,21.31958094,-3.274785201,0.020701211,86
Philippines,-6.240053224,2.777436528,-0.007332119,-1309.191571,322.1003764,-1.986339631,147,-0.29263141,-1.941956806,0.240406764,29.92611197,-7.259986144,0.090115517,57
Poland,-5.166051832,4.057840564,-0.09707011,-10.68494361,4.841518316,-0.057057091,58,-3.015639139,2.937810603,-0.04109051,1.842463015,1.250732027,-0.017626149,37
Portugal,-11.07095737,6.906983477,-0.194322493,16.92402681,-3.311028259,0.039746597,65,-7.226997578,5.272198479,-0.140650172,-13.08670637,4.952652677,-0.039827547,78
Qatar,-2.776586229,2.251649255,0.004360721,-14.59364291,6.806473211,-0.094519848,86,-2.736634055,2.236750142,0.004700772,-30.80851137,11.19575547,-0.134503995,88
Romania,-9.803862384,5.33970354,-0.103421176,-1.082335192,0.95471504,0.019390344,90,-9.391042945,5.182817266,-0.099552913,-23.2684304,6.853319586,-0.030890756,92
Russia,-45.20091252,13.28945153,-0.056683446,-21.54039741,8.209745262,-0.071638063,82,-69.70324806,21.01601494,-0.174829909,-17.65857449,7.196196362,-0.063632109,84
Rwanda,0.352844969,0.536139542,-0.016852563,-81.75678103,23.05712594,-0.212203223,61,0.266807276,-1.688869385,0.599111027,4.388907055,-1.286488317,0.045022126,10
Saint_Kitts_and_Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint_Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San_Marino,0.463775518,0.554320805,-0.001082051,11.51089729,-2.056152441,-0.016366392,49,0.245225678,0.712485885,-0.011821172,25.34194309,-6.061090363,0.028935662,53
Sao_Tome_and_Principe,-0.064250145,-10.92217841,1.510600739,-41.14560426,14.94420704,-0.290139925,27,-4.015767505,2.131331215,-0.031953442,43.97181017,-10.85994242,0.054633652,67
Saudi_Arabia,1.52232821,0.300791277,0.089467384,-3.235356151,2.827733136,-0.017044972,50,1.066789484,0.551813815,0.077344561,-3.516356781,2.906994466,-0.017871381,52
Senegal,1.698010434,-0.49581954,0.084175534,3.081378747,0.315540303,0.001020401,57,1.110969459,-0.077004475,0.060537961,-9.133679675,3.706077591,-0.032667503,68
Serbia,-8.459116231,5.393656967,-0.144841104,-0.464337868,-0.271746399,0.062773184,83,-7.252752064,4.896319711,-0.129910882,-30.4200511,7.777638379,-0.008741766,90
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra_Leone,-1.618969713,0.659618737,0.057557529,-1.716554796,1.740861556,-0.036567863,44,-1.618969713,0.659618737,0.057557529,-1.716554796,1.740861556,-0.036567863,44
Singapore,2.61884541,-2.085053754,0.152806905,-11.97376574,5.470953932,-0.065909229,90,2.475769757,-1.916914689,0.145060996,-20.22679417,7.606298624,-0.08220257,92
Sint_Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,-3.81807804,3.195109268,-0.113813363,-26.70535277,5.310734526,0.03479875,90,-3.81807804,3.195109268,-0.113813363,-26.70535277,5.310734526,0.03479875,90
Slovenia,-0.782102386,2.335080742,-0.120548533,-46.52326106,10.39299258,-0.004671689,84,-0.703085262,2.291465756,-0.118335844,-90.11534435,22.03632721,-0.105774985,91
Somalia,-21.07606454,8.284228477,-0.148907277,-95.37198661,29.16635549,-0.357859073,67,-13.07450015,4.791932858,-0.023818172,-21.00877742,7.847564469,-0.120509024,45
South_Africa,-7.508109706,5.859008992,-0.271635147,-0.43027165,1.012685552,0.039048592,36,-4.8328684,4.333393854,-0.181189596,-0.57759426,1.054144147,0.038619896,38
South_Korea,-38.94214005,15.74982645,-0.336444662,-55.31283426,14.36497047,-0.085453703,90,-38.53497718,15.6023288,-0.333109346,-61.33615379,15.889071,-0.096141819,92
South_Sudan,-0.557838579,-0.631932622,0.147295494,-46.01030386,16.16493069,-0.271548705,52,-1.918886686,0.16916147,0.107406454,-24.37225694,9.608336936,-0.183446594,53
Spain,-65.94034215,24.06148171,-0.39507934,84.30320594,-19.89403725,0.141880032,94,-63.97028193,23.40792768,-0.383491905,99.48482958,-23.82555142,0.172018003,96
Sudan,-15.91910753,5.293395564,-0.016141179,-37.47835891,12.53795428,-0.153190358,70,-15.91910753,5.293395564,-0.016141179,-37.47835891,12.53795428,-0.153190358,70
Suriname,0.338056687,0.61722802,-0.266776786,-111.5862036,31.55065297,-0.306244212,16,0.487386415,3.1082344,-1.084833571,-49.11287068,13.66533273,-0.108295669,10
