"","size","factor","a3_logi","a3_gom","b3_logi","b3_gom","c3_logi","c3_gom"
"1",19,"Infant_vaccination_rate","25514.4761314 (0.8566)","-73099.717785 (0.7653)","0.25491272366 (0.1632)","-0.0375484135 (0.9095)","-0.0012774757 (0.9041)","-0.0083716211 (0.4688)"
"2",12,"Pecentage_of_malnourished_population","-280161.89414 (0.1478)","-371970.08965 (0.2538)","0.22244681044 (0.3047)","-0.2291333518 (0.5552)","0.00769681422 (0.5562)","0.01544287105 (0.0294)"
"3",19,"Net_migration_rate","-42284.805280 (0.6953)","-66555.460374 (0.6542)","0.03022712803 (0.8338)","-0.0325918338 (0.8709)","-0.0156928319 (0.0396)","-0.0088813470 (0.1998)"
"4",19,"Proportion_of_urban_population","229934.840768 (0.1442)","202199.110539 (0.4140)","-0.2323094111 (0.2749)","-0.3479243854 (0.2940)","-0.0070748805 (0.5601)","0.00163470153 (0.8906)"
"5",1,"Public_social_welfare_expenditures","NaN (NA)","4785307.00777 (NaN)","NaN (NA)","12.8764535345 (NaN)","NaN (NA)","0.02946691553 (NaN)"
"6",3,"National_competitiveness","284094.337822 (0.8930)","716194.003187 (0.3728)","-0.8016945620 (0.4678)","0.13609757493 (0.8956)","0.00714009528 (0.8939)","0.02432293925 (0.4968)"
"7",17,"Average_annual_temperature","-57371.804986 (0.6365)","159034.034653 (0.6753)","-0.0159302155 (0.9222)","-0.2895760729 (0.5701)","-0.0054687631 (0.5290)","0.00745817266 (0.6686)"
"8",17,"Annual_precipitation","3817.98731497 (0.9786)","231310.672064 (0.4231)","-0.0502773739 (0.7922)","-0.1767978739 (0.6522)","-0.0043925870 (0.6670)","0.00375935768 (0.7791)"
"9",1,"Pharmaceutical_sales","NaN (NA)","1068506.56008 (0.0220)","NaN (NA)","2.94966868039 (0.0611)","NaN (NA)","0.00089965107 (0.9587)"
"10",16,"Exports_to_GDP_ratio","-225030.96033 (0.4301)","-512356.39041 (0.2919)","-0.1003220791 (0.7856)","-0.3093163088 (0.6416)","-0.0173813673 (0.4008)","-0.0339306143 (0.1398)"
"11",15,"Imports_to_GDP_ratio","-345231.28854 (0.1393)","-679447.57740 (0.0941)","-0.1666900327 (0.5889)","-0.0286283461 (0.9602)","-0.0034087691 (0.8436)","-0.0270956799 (0.1679)"
"12",19,"GDP","2830523.83597 (9.1489)","3701119.85586 (3.6019)","0.17289227554 (0.8547)","1.43990273606 (0.2738)","-0.0112010620 (0.8332)","-0.0011931807 (0.9798)"
"13",2,"Number_of_foreign_visitors","-256405.36122 (NaN)","-61805.348072 (0.9496)","0.31230386867 (NaN)","1.13633796113 (0.0188)","-0.0064826880 (NaN)","-0.0016240367 (0.7064)"
"14",2,"Number_of_international_travelers","-3410686.2887 (NaN)","-6848555.1830 (NaN)","4.15424434867 (NaN)","15.3748867466 (NaN)","-0.0862322656 (NaN)","0.00363871906 (NaN)"
"15",19,"Aging_index","579425.550560 (0.0067)","433318.926534 (0.1562)","0.19428627594 (0.5383)","0.55855793136 (0.1756)","-0.0089954312 (0.6137)","-0.0042789851 (0.7767)"
"16",19,"Total_fertility_rate","-264241.02647 (0.0787)","-253962.23344 (0.2380)","-0.1054702489 (0.6137)","0.02823580362 (0.9241)","0.00129072083 (0.9130)","0.00194650434 (0.8533)"
