"","size","factor","a1_logi","a1_gom","b1_logi","b1_gom","c1_logi","c1_gom"
"1",94,"Infant_vaccination_rate","226059.945303 (0.6609)","-35009.866747 (0.8347)","0.82620176914 (0.0139)","187.625298168 (0.2174)","-0.0042703596 (0.3827)","0.00031742586 (0.9158)"
"2",65,"Pecentage_of_malnourished_population","-388419.61450 (0.6030)","35338.2777141 (0.8826)","-0.8342415930 (0.0572)","-97.027421744 (0.6584)","-0.0045319144 (0.5028)","-0.0069553605 (0.0739)"
"3",92,"Net_migration_rate","135511.132015 (0.7970)","-86731.003591 (0.6001)","-0.5133541027 (0.1355)","-182.15826818 (0.2251)","0.00660809099 (0.1777)","0.00456725360 (0.1103)"
"4",92,"Proportion_of_urban_population","364703.242780 (0.4883)","-10189.986713 (0.9529)","0.20506075255 (0.5433)","86.5859599136 (0.5773)","0.00507150209 (0.3099)","0.00581127026 (0.0577)"
"5",15,"Public_social_welfare_expenditures","8080.03873270 (0.9385)","-59107.580400 (0.7359)","-0.9308462411 (0.4358)","-239.58923924 (0.5051)","0.00339825688 (0.8402)","0.00441893315 (0.7268)"
"6",37,"National_competitiveness","497505.679339 (0.1205)","635319.827528 (0.0947)","1.28855978944 (0.0365)","408.656248665 (0.1276)","-0.0174957409 (0.0288)","-0.0141242523 (0.0191)"
"7",73,"Average_annual_temperature","63827.1328640 (0.7025)","75628.6503997 (0.7399)","-0.6036003211 (0.1019)","-187.57035916 (0.2126)","0.00060534774 (0.9211)","-0.0025379739 (0.5198)"
"8",73,"Annual_precipitation","9470.65721054 (0.9548)","6596.17675155 (0.9758)","-0.3518629483 (0.3434)","-170.60273253 (0.2361)","0.00199279025 (0.7443)","7.79236609025 (0.9983)"
"9",14,"Pharmaceutical_sales","8825.94106115 (0.8789)","-67865.095962 (0.6530)","-0.8849557423 (0.4049)","-60.188991066 (0.5374)","0.01032050664 (0.6028)","0.00715816409 (0.6104)"
"10",75,"Exports_to_GDP_ratio","-741702.90661 (0.2497)","-160003.75193 (0.4482)","0.87767329898 (0.0241)","73.5166638213 (0.7000)","-0.0021324616 (0.7173)","0.00078165286 (0.8265)"
"11",73,"Imports_to_GDP_ratio","-1070595.8082 (0.1043)","-255266.03643 (0.2551)","1.33699280618 (0.0005)","473.758479671 (0.0170)","-0.0064993100 (0.2810)","-0.0054410254 (0.1491)"
"12",93,"GDP","4807172.58822 (2.5852)","2730653.29547 (1.4191)","-0.2700765527 (0.4333)","-403.26487740 (0.4668)","-0.0035183914 (0.4767)","0.01607357306 (0.1380)"
"13",26,"Number_of_foreign_visitors","5028859.61730 (0.0039)","-363026.39086 (0.5934)","-0.7992538874 (0.2770)","-70.366554506 (0.7390)","0.00087834564 (0.9113)","0.00620165656 (0.3840)"
"14",16,"Number_of_international_travelers","6605346.60098 (0.0214)","-466619.88985 (0.6800)","-0.5346423966 (0.5406)","183.296329864 (0.5420)","-0.0022920782 (0.8562)","0.00591945571 (0.6139)"
"15",92,"Aging_index","477032.956206 (0.3642)","65778.4228512 (0.7067)","1.67690690909 (1.8024)","317.290889306 (0.0436)","0.00184996818 (0.7072)","0.00515241323 (0.0877)"
"16",92,"Total_fertility_rate","-514392.65515 (0.3276)","-268808.56729 (0.1201)","-1.1571326692 (0.0005)","-195.66196816 (0.2157)","0.00676861308 (0.1672)","-0.0003785331 (0.9007)"
"17",97,"population","1962791.34563 (2.0389)","1170665.56620 (5.7157)","-0.2347127084 (0.4742)","-88.641525971 (0.5369)","-0.0054706154 (0.2445)","-0.0024052504 (0.3882)"
